"time/s";"Ewe/V";"Ece/V";"Ewe-Ece/V";"I/mA";"(Q-Qo)/mA.h";"Q charge/mA.h";"Q discharge/mA.h";"cycle number";"Efficiency/%";"|Ewe|/V";"|Ece|/V";"freq/Hz";"Re(Z)/Ohm";"-Im(Z)/Ohm";"|Z|/Ohm";"Phase(Z)/deg"
3090,0001;-2,544933795928955E+000;-2,538875341415405E-001;-2,291046142578125E+000;-1,103086207209843E+001;-5,791220284011682E+000;0,000000000000000E+000;5,791220284011682E+000;0,000000000000000E+000;;;;;;;;
3120,0001;-2,545449018478394E+000;-2,525711357593536E-001;-2,292877912521362E+000;-1,103073193376150E+001;-5,883143047804197E+000;0,000000000000000E+000;5,883143047804197E+000;0,000000000000000E+000;;;;;;;;
3150,0001;-2,544132471084595E+000;-2,496903240680695E-001;-2,294442176818848E+000;-1,103063661279047E+001;-5,975065017255306E+000;0,000000000000000E+000;5,975065017255306E+000;0,000000000000000E+000;;;;;;;;
3180,0001;-2,545830488204956E+000;-2,498811036348343E-001;-2,295949459075928E+000;-1,103074991670263E+001;-6,066987930905660E+000;0,000000000000000E+000;6,066987930905660E+000;0,000000000000000E+000;;;;;;;;
3210,0001;-2,546784639358521E+000;-2,489653527736664E-001;-2,297819375991821E+000;-1,103090806893721E+001;-6,158912162491268E+000;0,000000000000000E+000;6,158912162491269E+000;0,000000000000000E+000;;;;;;;;
3240,0001;-2,550200223922729E+000;-2,507968544960022E-001;-2,299403429031372E+000;-1,103077288950951E+001;-6,250835267581675E+000;0,000000000000000E+000;6,250835267581675E+000;0,000000000000000E+000;;;;;;;;
3270,0001;-2,552070140838623E+000;-2,511975169181824E-001;-2,300872564315796E+000;-1,103073672275164E+001;-6,342758071282439E+000;0,000000000000000E+000;6,342758071282440E+000;0,000000000000000E+000;;;;;;;;
3300,0001;-2,552527904510498E+000;-2,500909566879272E-001;-2,302436828613281E+000;-1,103066165861197E+001;-6,434680249448723E+000;0,000000000000000E+000;6,434680249448724E+000;0,000000000000000E+000;;;;;;;;
3330,0001;-2,554798603057861E+000;-2,504725456237793E-001;-2,304326057434082E+000;-1,103081058639970E+001;-6,526603668679873E+000;0,000000000000000E+000;6,526603668679874E+000;0,000000000000000E+000;;;;;;;;
3360,0001;-2,554607868194580E+000;-2,488699555397034E-001;-2,305737972259521E+000;-1,103116530678499E+001;-6,618530043914159E+000;0,000000000000000E+000;6,618530043914160E+000;0,000000000000000E+000;;;;;;;;
3390,0001;-2,568403482437134E+000;-2,610227763652802E-001;-2,307380676269531E+000;-1,103085950783979E+001;-6,710453870823966E+000;0,000000000000000E+000;6,710453870823967E+000;0,000000000000000E+000;;;;;;;;
3420,0001;-2,568708658218384E+000;-2,598017752170563E-001;-2,308906793594360E+000;-1,103088763612750E+001;-6,802377932136165E+000;0,000000000000000E+000;6,802377932136165E+000;0,000000000000000E+000;;;;;;;;
3450,0001;-2,570120811462402E+000;-2,593820393085480E-001;-2,310738801956177E+000;-1,103070291970107E+001;-6,894300454144849E+000;0,000000000000000E+000;6,894300454144849E+000;0,000000000000000E+000;;;;;;;;
3480,0001;-2,565865755081177E+000;-2,536204457283020E-001;-2,312245368957520E+000;-1,103064247543990E+001;-6,986222472451369E+000;0,000000000000000E+000;6,986222472451369E+000;0,000000000000000E+000;;;;;;;;
3510,0001;-2,564548969268799E+000;-2,507396340370178E-001;-2,313809394836426E+000;-1,103078800702164E+001;-7,078145703521040E+000;0,000000000000000E+000;7,078145703521040E+000;0,000000000000000E+000;;;;;;;;
3540,0001;-2,574356794357300E+000;-2,590004801750183E-001;-2,315356254577637E+000;-1,103067017242521E+001;-7,170067952635765E+000;0,000000000000000E+000;7,170067952635765E+000;0,000000000000000E+000;;;;;;;;
3570,0001;-2,575177192687988E+000;-2,580656409263611E-001;-2,317111492156982E+000;-1,103066191449551E+001;-7,261990132934411E+000;0,000000000000000E+000;7,261990132934412E+000;0,000000000000000E+000;;;;;;;;
3600,0001;-2,564205646514893E+000;-2,456457465887070E-001;-2,318559885025024E+000;-1,103069651327925E+001;-7,353912601556248E+000;0,000000000000000E+000;7,353912601556249E+000;0,000000000000000E+000;;;;;;;;
3630,0001;-2,576761007308960E+000;-2,564058601856232E-001;-2,320355176925659E+000;-1,103076968108835E+001;-7,445835679909812E+000;0,000000000000000E+000;7,445835679909813E+000;0,000000000000000E+000;;;;;;;;
3660,0001;-2,577829360961914E+000;-2,558525800704956E-001;-2,321976661682129E+000;-1,103067429484785E+001;-7,537757963378058E+000;0,000000000000000E+000;7,537757963378059E+000;0,000000000000000E+000;;;;;;;;
3690,0001;-2,578325510025024E+000;-2,547841966152191E-001;-2,323541402816772E+000;-1,103061352214123E+001;-7,629679740407096E+000;0,000000000000000E+000;7,629679740407097E+000;0,000000000000000E+000;;;;;;;;
3720,0001;-2,578726291656494E+000;-2,536395192146301E-001;-2,325086832046509E+000;-1,103061730477606E+001;-7,721601548958089E+000;0,000000000000000E+000;7,721601548958090E+000;0,000000000000000E+000;;;;;;;;
